,choice0,choice1,choice2,choice3,answer,diff
0,abate,route,out,doubt,0,3.35
1,sauce,loss,cross,accresce,3,4.836666666666666
2,contract,impact,abstract,irked,3,5.28
3,octave,attractive,proactive,interactive,0,5.083333333333334
4,productivity,creativity,activator,proclivity,2,5.846666666666667
5,sad,bad,aid,pad,2,3.1300000000000003
6,off-road,blade,trade,aid,0,5.033333333333332
7,laughter,thereafter,efta,rafter,2,6.280000000000001
8,train,plane,vein,agone,3,4.903333333333333
9,sage,engage,gauge,edge,3,4.36
10,go,blow,ego,show,2,2.2833333333333328
11,agra,tree,sea,be,0,2.8666666666666667
12,bear,ear,care,flare,1,3.17
13,oil,ball,call,fall,0,2.4566666666666666
14,elain,bone,stone,zone,0,4.86
15,long,ailing,wrong,strong,1,2.8866666666666667
16,eddy,ready,irido,steady,2,4.943333333333333
17,program,aim,ram,lamb,1,3.66
18,ament,mount,count,account,0,4.21
19,can,plan,on,man,2,1.0333333333333332
20,stunned,end,refund,fund,1,3.8699999999999997
21,ensue,dancer,cancer,necromancer,0,4.8066666666666675
22,many,plenty,penny,honor,3,2.8600000000000008
23,any one,run,one,gun,0,3.5833333333333335
24,bring,cling,unearthing,ring,2,4.72
25,tear,gear,au pair,clear,2,4.733333333333333
26,chapel,appeal,grapple,pineapple,1,4.71
27,car,air,bar,star,1,2.453333333333333
28,feria,aria,malaria,hysteria,1,5.543333333333333
29,charm,farm,orme,alarm,2,4.956666666666667
30,barmy,carmi,armor,smarmy,2,5.95
31,round,iron,ground,down,1,2.5433333333333334
32,ae of,drive,dive,strive,0,5.153333333333333
33,smart,start,ort,heart,2,3.416666666666666
34,whereas,pizzazz,jazz,is,3,3.5700000000000003
35,bask,task,esque,mask,2,5.57
36,out,caveat,that,cat,0,2.4899999999999998
37,black,attic,track,back,1,2.6966666666666668
38,plant,grant,ant,shant,2,5.123333333333333
39,bottom,notum,item,dotcom,2,6.43
40,lay,aweigh,day,way,1,3.1399999999999992
41,nabi,crybaby,baba,maybe,2,5.026666666666666
42,hack,book,black,track,1,3.016666666666667
43,sad,pad,ad,bird,3,3.47
44,drag,bug,flag,tag,1,3.7000000000000006
45,bill,all,fall,call,0,1.8033333333333335
46,bunk,tank,rank,blank,0,4.03
47,bus,grace,case,face,0,2.5433333333333334
48,gasket,mascot,biscuit,casket,2,4.989999999999999
49,wrath,sociopath,birth,path,2,4.103333333333333
50,by,key,tree,sea,0,2.38
51,green,burn,machine,mean,1,2.53
52,flare,care,air,bar,3,2.926666666666667
53,read,lead,head,bird,3,2.506666666666667
54,bear,clear,tear,gear,0,3.1233333333333335
55,wave,grave,behoove,brave,2,4.153333333333333
56,door,by far,war,for,1,3.4600000000000004
57,spin,began,in,pin,1,2.7066666666666666
58,wind,bind,mind,by hand,3,4.66
59,ball,dwell,well,cell,0,2.7699999999999996
60,blow,go,bully,show,2,2.3033333333333332
